NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:04:35",
CHAN,MEAS,FORMAT
2,S21,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
FREQUENCY,UNITS,UNITS
Hz,U,deg
50000000, 3.7353E-3, 1.4955E+0
52375000, 3.6379E-3,-1.4996E+0
54750000, 2.8995E-3,-6.2004E+0
57125000, 3.3676E-3,-2.0462E-1
59500000, 3.3556E-3,-2.7686E+0
61875000, 3.3777E-3,-4.7873E+0
64250000, 3.5012E-3,-1.0129E+1
66625000, 3.2254E-3,-1.9617E+1
69000000, 2.8869E-3,-3.124E+1
71375000, 2.7724E-3,-7.2721E+1
73750000, 4.5615E-3, 8.1091E+1
76125000, 2.9656E-3, 3.6707E+1
78500000, 2.6165E-3, 3.5516E+1
80875000, 2.7128E-3, 4.4209E+1
83250000, 3.1548E-3, 5.1384E+1
85625000, 4.2634E-3, 6.0315E+1
88000000, 5.5144E-3, 4.5018E+1
90375000, 5.1577E-3, 3.8964E+1
92750000, 5.0717E-3, 4.6252E+1
95125000, 5.7345E-3, 5.9208E+1
97500000, 8.6477E-3, 7.329E+1
99875000, 1.4802E-2, 6.8872E+1
102250000, 2.2649E-2, 5.9534E+1
104625000, 5.0074E-2, 3.9416E+1
107000000, 4.356E-2, 8.5542E+0
109375000, 5.7529E-2,-3.7381E+1
111750000, 4.4492E-2,-4.1108E+1
114125000, 6.4969E-2,-5.5383E+1
116500000, 7.2946E-2,-8.6493E+1
118875000, 7.5697E-2,-1.1063E+2
121250000, 7.9913E-2,-1.3612E+2
123625000, 8.3265E-2,-1.6432E+2
126000000, 8.009E-2, 1.6331E+2
128375000, 6.1771E-2, 1.2903E+2
130750000, 3.3712E-2, 1.1466E+2
133125000, 3.4151E-2, 1.3162E+2
135500000, 3.7555E-2, 1.1816E+2
137875000, 3.7799E-2, 1.2288E+2
140250000, 7.421E-2, 1.1463E+2
142625000, 9.1032E-2, 6.5422E+1
145000000, 6.9876E-2, 3.4487E+1
147375000, 5.3828E-2, 1.7206E+1
149750000, 4.3181E-2, 6.5794E+0
152125000, 3.7183E-2,-7.5256E-1
154500000, 3.2384E-2,-9.9701E+0
156875000, 2.5261E-2,-1.7136E+1
159250000, 1.8095E-2,-9.852E+0
161625000, 1.8702E-2, 1.5698E+1
164000000, 2.9195E-2, 2.5012E+1
166375000, 4.4799E-2, 1.4347E+1
168750000, 5.9603E-2,-4.9699E+0
171125000, 7.2722E-2,-2.9892E+1
173500000, 7.2516E-2,-6.3542E+1
175875000, 5.3645E-2,-9.0249E+1
178250000, 3.7254E-2,-1.0466E+2
180625000, 2.6965E-2,-1.1291E+2
183000000, 1.726E-2,-1.3302E+2
185375000, 6.5982E-4, 1.0861E+2
187750000, 1.8958E-2,-5.8955E+0
190125000, 3.5109E-2,-3.1994E+1
192500000, 4.8513E-2,-5.6556E+1
194875000, 5.8687E-2,-8.2575E+1
197250000, 6.2439E-2,-1.111E+2
199625000, 6.0301E-2,-1.3876E+2
202000000, 5.3301E-2,-1.6942E+2
204375000, 4.0552E-2, 1.6002E+2
206750000, 2.942E-2, 1.3412E+2
209125000, 2.3405E-2, 1.0584E+2
211500000, 2.136E-2, 6.4954E+1
213875000, 2.0585E-2, 1.1858E+1
216250000, 1.8685E-2,-4.2068E+1
218625000, 1.4406E-2,-8.6738E+1
221000000, 8.7057E-3,-1.2288E+2
223375000, 2.8246E-3,-1.6671E+2
225750000, 4.2924E-3, 2.9909E+1
228125000, 1.1416E-2,-6.4943E+0
230500000, 1.8223E-2,-4.014E+1
232875000, 1.8524E-2,-7.3146E+1
235250000, 1.7051E-2,-8.6162E+1
237625000, 1.674E-2,-1.0239E+2
240000000, 1.4769E-2,-1.1604E+2
