NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:05:26",
CHAN,MEAS,FORMAT
1,S11,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,dB
-20000,-73.774
-18895,-68.747
-17789,-69.440
-16684,-69.202
-15579,-67.649
-14474,-66.986
-13368,-66.238
-12263,-70.940
-11158,-67.294
-10053,-71.351
-8947,-71.598
-7842,-65.422
-6737,-62.340
-5632,-66.678
-4526,-61.339
-3421,-58.807
-2316,-58.794
-1211,-24.897
 -105,-8.283
 1000,-7.349
 2105,-16.783
 3211,-16.801
 4316,-19.076
 5421,-18.270
 6526,-14.280
 7632,-17.295
 8737,-21.772
 9842,-21.920
10947,-25.510
12053,-29.603
13158,-40.091
14263,-31.203
15368,-33.424
16474,-37.627
17579,-42.888
18684,-50.697
19789,-46.378
20895,-40.150
22000,-46.091
23105,-47.125
24211,-51.808
25316,-59.457
26421,-54.596
27526,-59.305
28632,-54.971
29737,-58.133
30842,-56.268
31947,-55.357
33053,-53.515
34158,-48.487
35263,-47.829
36368,-46.741
37474,-45.400
38579,-49.404
39684,-47.397
40789,-44.758
41895,-48.706
43000,-46.096
44105,-49.393
45210,-53.258
46316,-50.526
47421,-56.651
48526,-53.296
49632,-50.165
50737,-56.246
51842,-59.915
52947,-49.623
54053,-55.052
55158,-62.600
56263,-57.013
57368,-61.967
58474,-54.410
59579,-66.590
60684,-64.710
61789,-61.124
62895,-60.115
64000,-64.728
65105,-64.105
66210,-63.343
67316,-77.696
68421,-68.148
69526,-67.903
70632,-70.503
71737,-65.141
72842,-63.562
73947,-67.517
75053,-67.684
76158,-65.990
77263,-64.789
78368,-63.406
79474,-63.165
80579,-66.687
81684,-68.115
82789,-66.407
83895,-69.654
85000,-71.573
86105,-73.906
87210,-80.522
88316,-84.169
89421,-78.580
90526,-74.622
91632,-77.565
92737,-83.294
93842,-82.782
94947,-75.491
96053,-78.969
97158,-77.244
98263,-75.233
99368,-73.364
100474,-72.787
101579,-74.111
102684,-77.418
103789,-78.268
104895,-80.365
106000,-79.273
107105,-77.236
108210,-73.943
109316,-72.496
110421,-72.654
111526,-74.064
112632,-78.826
113737,-86.211
114842,-78.693
115947,-78.361
117053,-79.049
118158,-80.540
119263,-77.920
120368,-76.318
121474,-78.029
122579,-75.332
123684,-82.578
124789,-84.202
125895,-79.322
127000,-79.897
128105,-82.262
129210,-82.400
130316,-84.571
131421,-89.761
132526,-81.997
133631,-83.014
134737,-80.371
135842,-81.375
136947,-83.125
138053,-90.309
139158,-92.351
140263,-88.371
141368,-82.980
142474,-76.979
143579,-80.640
144684,-83.946
145789,-82.999
146895,-107.402
148000,-91.211
149105,-85.273
150210,-101.274
151316,-83.345
152421,-83.824
153526,-88.720
154631,-95.390
155737,-89.633
156842,-93.145
157947,-82.789
159053,-79.253
160158,-93.880
161263,-87.145
162368,-87.631
163474,-81.467
164579,-79.736
165684,-85.580
166789,-82.022
167895,-75.140
169000,-83.300
170105,-76.716
171210,-77.398
172316,-74.692
173421,-74.662
174526,-76.900
175631,-75.961
176737,-71.720
177842,-75.265
178947,-79.894
180053,-82.033
181158,-75.324
182263,-70.786
183368,-69.785
184474,-69.333
185579,-72.687
186684,-87.796
187789,-87.435
188895,-86.141
190000,-83.782
191105,-88.436
192210,-84.432
193316,-93.864
194421,-85.578
195526,-101.327
196631,-87.417
197737,-86.847
198842,-85.588
199947,-87.079
201053,-94.524
202158,-89.118
203263,-87.187
204368,-90.337
205474,-112.283
206579,-84.991
207684,-86.905
208789,-88.816
209895,-95.758
211000,-86.563
212105,-91.211
213210,-83.629
214316,-84.114
215421,-92.432
216526,-86.603
217631,-89.190
218737,-83.056
219842,-78.220
220947,-79.433
222052,-81.259
223158,-83.484
224263,-80.337
225368,-89.797
226474,-83.940
227579,-85.278
228684,-80.971
229789,-75.497
230895,-78.244
232000,-81.909
233105,-77.737
234210,-81.362
235316,-80.679
236421,-82.669
237526,-90.893
238631,-76.945
239737,-79.117
240842,-84.567
241947,-80.521
243052,-79.006
244158,-78.093
245263,-79.548
246368,-74.499
247474,-76.323
248579,-76.512
249684,-81.045
250789,-75.772
251895,-68.353
253000,-67.527
254105,-75.099
255210,-67.054
256316,-66.493
257421,-63.821
258526,-65.556
259631,-56.186
260737,-56.592
261842,-60.839
262947,-58.009
264052,-56.786
265158,-53.543
266263,-51.472
267368,-49.310
268474,-52.593
269579,-72.469
270684,-62.902
271789,-65.371
272895,-73.430
274000,-69.866
275105,-71.815
276210,-69.590
277316,-69.375
278421,-75.403
279526,-74.699
280631,-72.367
281737,-76.521
282842,-84.025
283947,-79.406
285052,-79.690
286158,-90.046
287263,-79.015
288368,-76.592
289474,-89.076
290579,-91.447
291684,-82.126
292789,-80.452
293895,-83.693
295000,-84.581
296105,-83.778
297210,-77.177
298316,-86.800
299421,-88.253
300526,-82.206
301631,-87.096
302737,-100.149
303842,-88.378
304947,-80.295
306052,-86.818
307158,-89.428
308263,-88.562
309368,-86.110
310473,-92.626
311579,-108.287
312684,-83.188
313789,-81.555
314895,-90.425
316000,-90.106
317105,-80.174
318210,-82.878
319316,-92.296
320421,-86.242
321526,-79.978
322631,-86.690
323737,-88.633
324842,-94.430
325947,-82.111
327052,-85.386
328158,-92.033
329263,-81.254
330368,-90.390
331473,-102.621
332579,-86.736
333684,-88.970
334789,-80.133
335895,-90.254
337000,-81.248
338105,-78.088
339210,-80.787
340316,-73.055
341421,-75.840
342526,-69.488
343631,-74.688
344737,-84.581
345842,-75.294
346947,-87.739
348052,-73.909
349158,-82.337
350263,-70.039
351368,-70.732
352473,-76.164
353579,-71.523
354684,-70.892
355789,-72.221
356895,-74.833
358000,-79.047
359105,-71.682
360210,-80.242
361316,-77.028
362421,-68.896
363526,-79.587
364631,-78.542
365737,-75.050
366842,-72.786
367947,-75.341
369052,-79.817
370158,-85.232
371263,-84.221
372368,-72.552
373473,-74.046
374579,-82.067
375684,-71.973
376789,-68.966
377895,-75.325
379000,-75.466
380105,-67.164
381210,-57.698
382316,-64.787
383421,-94.379
384526,-74.668
385631,-70.822
386737,-78.261
387842,-76.580
388947,-78.824
390052,-83.592
391158,-71.521
392263,-90.010
393368,-77.797
394473,-76.142
395579,-85.059
396684,-75.074
397789,-77.829
398894,-71.174
400000,-72.989
401105,-71.065
402210,-69.057
403316,-69.319
404421,-69.104
405526,-67.862
406631,-67.390
407737,-66.878
408842,-72.877
409947,-68.718
411052,-74.207
412158,-71.304
413263,-66.980
414368,-61.098
415473,-66.800
416579,-60.588
417684,-58.360
418789,-57.516
419894,-23.632
421000,-7.919
422105,-7.672
