NA, FW_VERSION, FW_DATE 
HP8753ES,07.74,"Oct 30, 2002"
DATE, TIME,
" 5 May 2014 ","12:09:49",
CHAN,MEAS,FORMAT
2,S21,POLAR
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
401,1E1,3700
TIME,UNITS,UNITS
pS,U,deg
-20000, 3.6196E-6,-9.4959E+1
-18895, 6.8885E-6,-7.1619E+1
-17789, 6.3785E-6, 2.0448E+1
-16684, 4.5444E-6, 5.8008E+0
-15579, 2.4891E-6, 1.0384E+2
-14474, 4.1842E-6, 7.9238E+1
-13368, 7.81E-6,-1.7723E+2
-12263, 6.6518E-6,-1.4274E+2
-11158, 5.6124E-6,-6.2505E+1
-10053, 5.9524E-6,-5.5404E+1
-8947, 1.3108E-5,-8.513E+0
-7842, 1.2609E-5, 2.7469E+1
-6737, 1.9478E-5, 9.3036E+1
-5632, 9.8109E-6, 1.0502E+2
-4526, 2.1497E-5, 1.5024E+2
-3421, 1.8461E-5, 1.7246E+2
-2316, 3.9184E-5,-1.1142E+2
-1211, 8.2745E-5, 1.1508E+0
-105, 1.513E-3, 4.7472E+1
1000, 1.15E-2,-8.7465E+1
2105, 1.7065E-2, 1.2887E+2
3211, 8.8662E-3,-7.012E+0
4316, 2.3437E-3,-1.0497E+2
5421, 3.7104E-4,-1.4424E+2
6526, 4.6505E-4, 3.0177E+1
7632, 3.6207E-3,-1.791E+1
8737, 3.9141E-3,-1.5087E+2
9842, 4.5829E-3, 1.6635E+2
10947, 4.5485E-3, 1.7906E+1
12053, 2.1073E-3,-1.0293E+2
13158, 1.6607E-3, 1.3643E+2
14263, 2.8616E-3, 5.5308E+1
15368, 1.0696E-3, 1.2528E+2
16474, 3.4528E-3,-9.6291E+1
17579, 1.871E-4,-4.3289E+1
18684, 1.8016E-3, 5.6198E+1
19789, 1.3519E-3,-1.0681E+2
20895, 4.2869E-4, 6.1411E+1
22000, 7.2266E-4, 1.0598E+2
23105, 2.7798E-4, 1.4809E+2
24211, 1.3391E-4,-1.426E+2
25316, 9.5742E-4,-1.5833E+2
26421, 1.0775E-3,-5.149E+1
27526, 1.0107E-3, 1.224E+1
28632, 8.7273E-4, 1.1579E+2
29737, 3.753E-4,-1.7355E+2
30842, 1.9235E-4, 1.3074E+1
31947, 2.1956E-4, 1.5522E+2
33053, 3.2192E-4,-1.2382E+2
34158, 1.4375E-4, 6.7685E+1
35263, 5.7964E-4,-1.0184E+2
36368, 5.1564E-4,-2.1655E+1
37474, 1.1229E-3, 6.201E+1
38579, 5.4434E-4,-1.6796E+2
39684, 4.1215E-4,-1.3049E+2
40789, 3.3832E-4, 1.1E+2
41895, 7.4907E-4,-8.7838E+1
43000, 6.3323E-4, 2.8334E+1
44105, 9.9175E-4, 1.0696E+2
45210, 9.937E-4,-1.4621E+2
46316, 1.4579E-3,-4.7045E+1
47421, 6.5635E-4, 1.8263E+1
48526, 1.1552E-3, 1.1546E+2
49632, 3.8116E-4, 1.0413E+2
50737, 1.4866E-3,-1.5891E+2
51842, 8.7107E-4,-3.2638E+1
52947, 1.3823E-3,-3.239E+1
54053, 1.205E-3, 1.2311E+2
55158, 5.5702E-4, 6.1496E+1
56263, 7.6096E-4,-1.2316E+2
57368, 3.9284E-4, 9.8819E+1
58474, 7.1749E-4,-8.1148E+1
59579, 6.5444E-4, 9.8403E+1
60684, 3.3058E-4,-6.9925E+1
61789, 2.3105E-4,-1.153E+2
62895, 6.3184E-4, 4.9651E+1
64000, 3.9447E-4,-1.4409E+2
65105, 2.3383E-4, 3.7965E+1
66210, 2.9006E-4, 1.6873E+2
67316, 2.4459E-4,-1.1913E+2
68421, 4.2401E-4,-2.9615E+1
69526, 2.8952E-4, 1.0341E+2
70632, 6.6424E-5,-1.0446E+2
71737, 1.5057E-4, 1.5341E+1
72842, 3.9754E-4, 1.2352E+2
